,N.º,Título,Duración,Álbum,Título_v2,Letra
45,3.,"Whenever, Wherever",3:16,Servicio de lavandería,"Whenever, Wherever","58 ContributorsTranslationsΕλληνικάEspañolWhenever, Wherever Lyrics[Verse 1]
Lucky you were born that far away so
We could both make fun of distance
Lucky that I love a foreign land for
The lucky fact of your existence
Baby, I would climb the Andes solely
To count the freckles on your body
Never could imagine there were only
Ten million ways to love somebody

[Pre-Chorus]
Le-do-lo-le-lo-le
Le-do-lo-le-lo-le
Can't you see?
I'm at your feet

[Chorus]
Whenever, wherever
We're meant to be together
I'll be there, and you'll be near
And that's the deal, my dear
Thereover, hereunder
You'll never have to wonder
We can always play by ear
But that's the deal, my dear
You might also like[Verse 2]
Lucky that my lips not only mumble
They spill kisses like a fountain
Lucky that my breasts are small and humble
So you don't confuse them with mountains
Lucky I have strong legs like my mother
To run for cover when I need it
And these two eyes, that for no other
The day you leave, will cry a river

[Pre-Chorus]
Le-do-lo-le-lo-le
Le-do-lo-le-lo-le
At your feet
I'm at your feet

[Chorus]
Whenever, wherever
We're meant to be together
I'll be there, and you'll be near
And that's the deal, my dear
Thereover, hereunder
Or up above, down under
We can always play by ear
But that's the deal, my dear
[Bridge]
Le-do-lo-le-lo-le
Le-do-lo-le-lo-le
Think out loud
Say it again
Le-do-lo-le-lo-le-lo-le
Tell me one more time
That you'll live lost in my eyes

[Chorus]
Whenever, wherever
We're meant to be together
I'll be there, and you'll be near
And that's the deal, my dear
Thereover, hereunder
You've got me head over heels
There's nothing left to fear
If you really feel the way I feel
Whenever, wherever
We're meant to be together
I'll be there, and you'll be near
And that's the deal, my dear
Thereover, hereunder
You've got me head over heels
There's nothing left to fear
If you really feel the way I feel23Embed"
46,4.,Rules,3:40,Servicio de lavandería,Rules,"17 ContributorsTranslationsEspañolRules Lyrics[Verse 1]
You have to swear you've got love to love me
Uh-uh, that will last forever
Uh-uh, we must have a story
Uh-uh, with a happy ending

[Pre-Chorus 1]
Ahh, so don't ever go away, and never put aside
The things I'm gonna say, 'cause these are rules for us

[Chorus]
Use your eyes only to look at me
Use your mouth only to kiss my lips
We are branches of the same old tree
You can laugh, only if you laugh with me
You can cry, only if you cry for me
Don't forget that you're condemned to me
Oh, can't you see?
You always were, you'll always be

[Verse 2]
You used to say I should see a doctor
Uh-uh, who would keep me busy
Uh-uh, 'cause a jealous woman never makes it easy

[Pre-Chorus 2]
Ahh, and you know I'll do for us whatever seems right
Ah-ah, but it may take a while before I change the rules
You might also like[Chorus]
Use your eyes only to look at me
Use your mouth only to kiss my lips
We are branches of the same old tree
You can laugh only if you laugh with me
You can cry only if you cry for me
Don't forget that you're condemned to me
Oh, can't you see? You always were, you always were
Ohh, oh-oh-oh

[Instrumental Break]

[Chorus]
So use your eyes only to look at me
Use your mouth only to kiss my lips
We are branches of the same old tree
You can laugh only if you laugh with me
You can cry only if you cry for me
Don't forget that you're condemned to me
Oh, can't you see? You always were, you'll always be
Ah-ah-ah1Embed"
47,5.,The One,3:43,Servicio de lavandería,The One,"15 ContributorsTranslationsEspañolThe One Lyrics[Verse 1]
So I find a reason to shave my legs each single morning
So I count on someone Friday nights to take me dancing
And then to church on Sundays
To plant more dreams
And someday think of kids
Or maybe just to save a little money

[Chorus]
You're the one I need
The way back home is always long
But if you're close to me, I'm holding on
You're the one I need
My real life has just begun
'Cause there's nothing like your smile made of sun

[Interlude]
In a world full of strangers
You're the one I know

[Verse 2]
So I learned to cook and finally lose my kitchen phobia
So I've got the arms to cuddle in when there's a ghost or a muse
That brings insomnia
To buy more thongs
And write more happy songs
It always takes a little help from someone
You might also like[Chorus]
You're the one I need
The way back home is always long
But if you're close to me, I'm holding on
You're the one I need
My real life has just begun
'Cause there's nothing like your smile made of sun

[Instrumental Break]

[Chorus]
You're the one I need
The way back home is always long
But if you're close to me, I'm holding on
You're the one I need
My real life has just begun
'Cause there's nothing like your smile made of sun
You're the one I need
You're the one I need
With you, my real life has just begun
You're the one I need
You're the one I need
Nothing like your smile made of sun
Nothing like your love
Nothing like your love, ah
Nothing like your love3Embed"
48,6.,Ready for the Good Times,4:14,Servicio de lavandería,Ready for the Good Times,"14 ContributorsTranslationsEspañolReady for the Good Times Lyrics[Verse 1]
I don't wanna clear the cobwebs from my head
Time will bring them back, I bet
So if you hear me say that I believe in love
Don't make me feel ashamed
I used to sing the saddest songs
And in the meantime, roaches used to climb my door
Falling back down to the floor
I used to read survival guides
When my world was full of seven legged cats
But here I am with eight more lives

[Chorus]
I'm ready for the good times
I'm ready for the good times
Ready to get it on
I'm ready for the good times
I'm ready for the good times
Now that I'm not alone
Ah, ah, ah, ah, ah, ah, ah, ah
Ah, ah, ah, ah, you know it
Ah, ah, ah, ah, ah, ah, ah, ah
You better not ignore it

[Verse 2]
I don't wanna look at fashion magazines
While someone does my nails
Sitting here watching other people live
Frozen by the fear to fail
You might also like[Bridge]
'Cause every day there's a war to fight
And if I win or lose - nevermind
As long as you're my shelter every night
I used to cry against a wall
But now I've got a shoulder that I can lean on
Swear to me you won't be gone

[Chorus]
I'm ready for the good times
I'm ready for the good times
Ready to get it on
I'm ready for the good times
I'm ready for the good times
Now that I'm not alone

[Instrumental Break]

[Bridge]
'Cause every day there's a war to fight
And if I win or lose - nevermind
As long as you're my shelter every night
I used to cry against a wall
But now I've got a shoulder that I can lean on
Swear to me you won't be gone
[Chorus]
I'm ready for the good times
I'm ready for the good times
Ready to get it on
I'm ready for the good times
I'm ready for the good times
Now that I'm not alone
Ah, ah, ah, ah, ah, ah, ah, ah
Ah, ah, ah, ah, you know it
Ah, ah, ah, ah, ah, ah, ah, ah
You better not ignore it4Embed"
49,7.,Fool,3:51,Servicio de lavandería,Fool,"14 ContributorsTranslationsEspañolFool Lyrics[Verse 1]
Tell me lies, slap me on the face
Just improvise, do something really clever
That'll make me hate your name forever
You might swear you'd never touch a lady
Well, let me say, you're not too far from maybe
Every day you find new ways to hurt me

[Chorus]
But I can't help it if I'm just a fool
Always having my heart set on you
'Til the time you start changing the rules
I'll keep chasing the soles of your shoes
Ah-ah-ah-ah-ah-ah, fool

[Verse 2]
God resigned from hearing my old story
Every night, I'm paying hell for glory
I'm embarrassed, but I'm much more sorry
All this pain begins to feel like pleasure
With my tears, you'd make a sea a desert
Salt my wounds and I’ll keep saying, ""Thank you""

[Chorus]
But I can't help it if I'm just a fool
Always having my heart set on you
'Til the time you start changing the rules
I'll keep chasing the soles of your shoes
Ah-ah-ah-ah-ah-ah, fool
You might also like[Instrumental Break]

[Chorus]
But I can't help it if I'm just a fool
Always having my heart set on you
'Til the time you start changing the rules
I'll keep chasing the soles of your shoes
Ah-ah-ah-ah-ah-ah-ah-ah, fool
I can't help it, baby, ah-ah, fool
I can't help it, baby, ah-ah, fool
I can't help it, baby, ah-ah, fool
I can't help it, baby, baby, ah-ah-ah-ah, fool
I'm a fool
I'm a fool1Embed"
50,8.,Te dejo Madrid,3:07,Servicio de lavandería,Te dejo Madrid,"18 ContributorsTranslationsEspañolTe Dejo Madrid Lyrics[Letra de ""Te Dejo Madrid""]

[Introducción]
Ooh!
Ah-ah

[Verso 1]
Sí, ya es hora de esconder
Del mundo el dolor bajo la piel
Mas sé que estaré bien
Los gatos, como yo, caen de pie
No quiero jugar mi suerte por ti
No puedo con v pequeña vivir
Pronto estaré de aquí muy, muy lejos

[Coro]
Ay, me voy otra vez
Ay, te dejo, Madrid
Tus rutinas de piel y tus ganas de huir
Yo no quiero cobardes que me hagan sufrir
Mejor le digo adiós a tu boca de anís

[Verso 2]
Sí, ya es hora de limpiar las manchas de miel
Sobre el mantel
Yo nunca supe actuar
Y mis labios se ven muertos de sed
No quiero dejarlo todo al azar
Entiendo que he comenzado a estorbar
Pronto estaré de ti muy, muy lejos
You might also like[Coro]
Ay, me voy otra vez
Ay, te dejo, Madrid
Tus rutinas de piel y tus ganas de huir
Yo no quiero cobardes que me hagan sufrir
Mejor le digo adiós a tu boca de anís
Ah, ah

[Instrumental]

[Coro]
Ay, me voy otra vez
Ay, te dejo, Madrid
Tus rutinas de piel y tus ganas de huir
Yo no quiero cobardes que me hagan sufrir
Mejor le digo adiós a tu boca de...
Ay, me voy otra vez
Ay, te dejo, Madrid
Tus rutinas de piel y tus ganas de huir
Yo no quiero cobardes que me hagan sufrir
Mejor le digo adiós a tu boca de anís

[Outro]
Ay, te dejo, Madrid, Madrid
A tu boca de anís
A tu boca de anís2Embed"
51,9.,Poem to a Horse,4:09,Servicio de lavandería,Poem to a Horse,"19 ContributorsTranslationsEspañolPoem to a Horse Lyrics[Verse 1]
You're too far to bring you close
And too high to see below
Just hanging on your daily dose
I know you never needed anyone
But the rolling papers for your grass
How can you give what you don't have?

[Pre-Chorus]
You keep on aiming for the top
And quit before you sweat a drop
Feed your empty brain with your hydroponic pot
You start out playing with yourself
You get more fun within your shell
Nice to meet you, but I gotta go my way

[Chorus]
I'll leave again 'cause I've been waiting in vain
But you're so in love with yourself
If I say my heart is sore
Sounds like a cheap metaphor
So I won't repeat it no more

[Verse 2]
I'd rather eat my soup with a fork
Or drive a cab in New York
'Cause to talk to you is harder work
So what's the point of wasting all my words
If it's just the same or even worse
Than reading poems to a horse? Oh
You might also like[Pre-Chorus]
You keep on aiming for the top
And quit before you sweat a drop
Feed your empty brain with your hydroponic pot
I bet you'll find someone like you
'Cause there's a foot for every shoe
I wish you luck but, I've got other things to do

[Chorus]
I'll leave again 'cause I've been waiting in vain
But you're so in love with yourself
If I say my heart is sore
Sounds like a cheap metaphor
So I won't repeat it no more

[Instrumental Break]

[Chorus]
I'll leave again 'cause I've been waiting in vain
If I say my heart is sore
Sounds like a cheap metaphor
I'll leave again 'cause I've been waiting in vain
But you're so in love with yourself
If I say my heart is sore
Sounds like a cheap metaphor
So I won't repeat it no more2Embed"
52,10.,Que me quedes tú,4:48,Servicio de lavandería,Que me quedes tú,"17 ContributorsTranslationsEnglishQue Me Quedes Tú Lyrics[Letra de ""Que Me Quedes Tú""]

[Verso 1]
Que se arruinen los canales de noticias
Con lo mucho que odio la televisión
Que se vuelvan anticuadas las sonrisas
Y se extingan todas las puestas de sol
Que se supriman las doctrinas y deberes
Que se terminen las peliculas de acción
Que se destruyan en el mundo los placeres
Y que se escriba hoy una última canción

[Coro]
Pero que me quedes tú
Y me quede tu abrazo
Y el beso que inventas cada día
Y que me quede aquí después del ocaso
Para siempre tu melancolía
Por que yo, sí, que dependo de tí
Y si me quedas tú
Me queda la vida

[Verso 2]
Que desaparezcan todos los vecinos
Y se coman las sobras de mi inocencia
Que se vayan uno a uno los amigos
Y acribillen mi pedazo de conciencia
Que se consuman las palabras en los labios
Que contaminen todo el agua del planeta
O que renuncien los filántropos y sabios
Y que se muera hoy hasta el último poeta
You might also like[Coro]
Pero que me quedes tú
Y me quede tu abrazo
Y el beso que inventas cada día
Y que me quede aquí después del ocaso
Para siempre tu melancolía
Por que yo, yo, sí, sí, que dependo de tí
Y si me quedas tú
Me queda la vida

[Instrumental]

[Coro]
Pero que me quedes tú
Y me quede tu abrazo
Y el beso que inventas cada día
Y que me quede aquí después del ocaso
Para siempre tu melancolía
Por que yo, yo, sí, sí, que dependo de tí
Y si me quedas tú
Me queda la vida2Embed"
53,11.,Eyes Like Yours (Ojos así),3:58,Servicio de lavandería,Eyes Like Yours,"29 ContributorsEyes Like Yours (Ojos Así) Lyrics[Verse 1]
Oh, you know I have seen a sky without sun
A man with no nation
Saints captive in chains
A song with no name for lack of imagination

[Pre-Chorus]
And I have seen darker than ebony
And now it seems, that I
Without your eyes, could never be

[Chorus]
My one desire, all I aspire
Is in your eyes forever to live
Traveled all over the seven oceans
There is nothing that I wouldn't give
Came from Bahrein, got to Beirut
Looking for someone comparing to you
Tearing down windows and doors
And I could not find eyes like yours
Came from Bahrein, got to Beirut
Looking for someone comparing to you
Tearing down windows and doors
And I could not find eyes like yours

[Verse 2]
Oh, you know I seen a woman of means
In rags and begging for pleasure
Crossed a river of salt just after I rode
A ship that's sunk in the desert
You might also like[Pre-Chorus]
And I have seen darker than ebony
And now it seems, that I
Without your eyes, could never be

[Chorus]
My one desire, all I aspire
Is in your eyes forever to live
Traveled all over the seven oceans
There is nothing that I wouldn't give
Came from Bahrein, got to Beirut
Looking for someone comparing to you
Tearing down windows and doors
And I could not find eyes like yours
Came from Bahrein, got to Beirut
Looking for someone comparing to you
Tearing down windows and doors
And I could not find eyes like yours

[Instrumental Break]

[Bridge]
رَبُّ السَّماءِ, فيك الرجاءِ
في عينيها أرى حياتي
آتِي إِلَيْكَ مِنْ هَذا الكَوْنِ
أرجوك, رَبِّي, لَبِّي نِدائي
من البحرين إلى بيروت
[Chorus]
Looking for someone comparing to you
Tearing down windows and doors
And I could not find eyes like yours
My one desire, all I aspire
Is in your eyes forever to live
Traveled all over the seven oceans
There is nothing that I wouldn't give
Came from Bahrein, got to Beirut
Looking for someone comparing to you
Tearing down windows and doors
And I could not find eyes like yours1Embed"
54,12.,"Suerte (Whenever, Wherever)",3:16,Servicio de lavandería,Suerte,"29 ContributorsTranslationsEnglishSuerte (Whenever, Wherever) Lyrics[Letra de ""Suerte (Whenever, Wherever)""]

[Verso 1]
Suerte que en el sur hayas nacido
Y que burlemos las distancias
Suerte que es haberte conocido
Y por ti amar tierras extrañas
Yo puedo escalar los Andes sólo
Por ir a contar tus lunares
Contigo celebro y sufro todo
Y mis alegrias y mis males

[Pre-Coro]
Le ro, lo le, lo le
Le ro, lo le, lo le
Sabes que estoy a tus pies

[Coro]
Contigo, mi vida, quiero vivir la vida
Y lo que me queda de vida quiero vivir contigo
Contigo, mi vida, quiero vivir la vida
Y lo que me queda de vida quiero vivir contigo

[Verso 2]
Suerte que es tener labios sinceros
Para besarte con más ganas
Suerte que mis pechos sean pequeños
Y no los confundas con montañas
Suerte que heredé las piernas firmes
Para correr si un día hace falta
Y éstos dos ojos que me dicen
Que han de llorar cuando te vayas
You might also like[Pre-Coro]
Le ro, lo le, lo le
Le ro, lo le, lo le
Sabes que estoy a tus pies

[Coro]
Contigo, mi vida, quiero vivir la vida
Y lo que me queda de vida quiero vivir contigo
Contigo, mi vida, quiero vivir la vida
Y lo que me queda de vida quiero vivir contigo

[Puente]
Le ro, lo le, lo le
Le ro, lo le, lo le
Sabes que estoy a tus pies
Le ro, lo le, lo le, lo la
La felicidad tiene tu nombre y tu piel

[Coro]
Contigo, mi vida, quiero vivir la vida
Y lo que me queda de vida quiero vivir contigo
Ya sabes, mi vida, estoy hasta el cuello por ti
Si sientes algo así quiero que te quedes junto a mí
Contigo, mi vida, quiero vivir la vida
Y lo que me queda de vida quiero vivir contigo
Ya sabes, mi vida, estoy hasta el cuello por ti
Si sientes algo así quiero que te quedes junto a mí5Embed"
55,13.,"Te aviso, te anuncio (tango)",3:43,Servicio de lavandería,"Te aviso, te anuncio","18 ContributorsTranslationsEnglishTe Aviso, Te Anuncio (Tango) Lyrics[Letra de ""Te Aviso, Te Anuncio""]

[Verso 1]
Nunca pensé que doliera el amor así
Cuando se entierra en el medio de un no y un sí
Es un día ella y otro día yo
Me estás dejando sin corazón y cero de razón

[Coro]
Ay, te aviso y te anuncio que hoy renuncio
A tus negocios sucios
Ya sabes que estoy de ti vacunada
A prueba de patadas
Por ti me quedé como Mona Lisa
Sin llanto y sin sonrisa
Que el cielo y tu madre cuiden de tí
Me voy, será mejor así

[Verso 2]
Sé que olvidarte no es asunto sencillo
Te me clavaste en el cuerpo como un cuchillo
Pero todo lo que entra ha de salir
Y los que están tendrán que partir empezando por mí

[Coro]
Ay, te aviso y te anuncio que hoy renuncio
A tus negocios sucios
Ya sabes que estoy de ti vacunada
A prueba de patadas
Por ti me quedé como Mona Lisa
Sin llanto y sin sonrisa
Que el cielo y tu madre cuiden de tí
Me voy, no, no, no, oh
You might also like[Puente]
Tal vez tú no eras ese para mí
No sé cómo se puede ya vivir queriendo así
Es tan patético, neurótico, satírico, psicótico
Tú no lo ves, el tango no es de a tres
Llevo planeando escapar y me sale al revés
Pero voy a intentarlo una y otra vez voy

[Coro]
Ay, te aviso y te anuncio que hoy renuncio
A tus negocios sucios
Por ti me quedé como Mona Lisa
Sin llanto y sin sonrisa
Te aviso que estoy de tí vacunada y no me importa nada
Que el cielo y tu madre cuiden de tí
Me voy, será mejor así
Ya me voy, ya me fui, es mejor así
Ay, que el cielo y tu madre cuiden de tí
Me voy
Ay que el cielo y tu madre cuiden de tí
Me voy, será mejor así7Embed"
56,1.,En tus pupilas,4:24,Fijación Oral Vol.1,En tus pupilas,"23 ContributorsTranslationsEnglishEn Tus Pupilas Lyrics[Letra de ""En Tus Pupilas""]

[Intro]
Quand tu, quand tu me prends dans tes bras
Quand je regarde dans tes yeux
Je vois que Dieu existe
C'est pas dur d'y croire

[Verso 1]
Antes de conocerte el mundo era plano
Aunque lo discuta usted, Señor Galilei
Y me cansé de besar ranas en vano
Pero el príncipe azul jamás lo encontré
Y así llegaste tú devolviéndome la fe
Sin poemas y sin flores
Con defectos, con errores pero en pie

[Coro]
Y siento algo en ti, algo entre los dos
Que me hace insistir
Cuando miro en tus pupilas sé que Dios no dejó de existir
Y siento algo en ti, algo entre los dos
Que me hace insistir
Cuando miro en tus pupilas sé que Dios no dejó de existir
Tú lo haces vivir
Tú lo haces vivir
You might also like[Verso 2]
La vida es una colección de recuerdos
Pero nada como tu recuerdo también
Desde la redondez que tienen tus labios
Al olor de tu pelo, al color de tu piel
No pienses que te irás y me voy a resignar
Eres lo mejor que me ha pasado
Entre lo mundano y lo sagrado y aún más

[Coro]
Y siento algo en ti, algo entre los dos
Que me hace insistir
Cuando miro en tus pupilas sé que Dios no dejó de existir
Y siento algo en ti, algo entre los dos
Que me hace insistir
Cuando miro en tus pupilas sé que Dios no dejó de existir
Tú lo haces vivir
Tú lo haces vivir

[Outro]
Quand tu, quand tu me prends dans tes bras
Quand je regarde dans tes yeux
Je vois que Dieu existe
C'est pas dur d'y croire

Y siento algo en ti
Y siento algo en ti
Y siento algo en ti, algo en ti1Embed"
57,2.,La pared,3:20,Fijación Oral Vol.1,La pared,"20 ContributorsTranslationsEnglishLa Pared Lyrics[Letra de ""La Pared""]

[Estrofa 1]
Eres como una predicción de las buenas
Eres como una dosis alta en las venas
Y el deseo gira en espiral
Porque mi amor por ti es total
Y es para siempre

[Estribillo]
Después de ti la pared
No me faltes nunca
Debajo el asfalto
Y mas abajo estaría yo
Después de ti la pared
No me faltes nunca
Debajo el asfalto
Y mas abajo estaría yo sin ti

[Estrofa 2]
Eres la enfermedad y el enfermero
Y ya me has convertido en tu perro faldero
Sabes que sin ti ya yo no soy
Sabes que a donde vayas voy
Naturalmente
You might also like[Estribillo]
Después de ti la pared
No me faltes nunca
Debajo el asfalto
Y mas abajo estaría yo
Después de ti la pared
No me faltes nunca
Debajo el asfalto
Y mas abajo estaría yo sin ti

[Puente]
Ah, la, la, la
Ah, la, la, la
Ah, la, la, la

[Estribillo]
Después de ti la pared
No me faltes nunca
Debajo el asfalto
Y mas abajo estaría yo
Después de ti la pared
No me faltes nunca
Debajo el asfalto
Y mas abajo estaría yo sin ti, sin ti5Embed"
58,3.,La tortura (con Alejandro Sanz),3:35,Fijación Oral Vol.1,La tortura,"33 ContributorsTranslationsEnglishLa Tortura Lyrics[Letra de ""La Tortura"" ft. Alejandro Sanz]

[Intro: Alejandro Sanz]
Ay payita mía, guárdate la poesía
Guárdate la alegria pa' ti
Y oye, dámelo

[Verso 1: Shakira & Alejandro Sanz]
No pido que todos los días sean de sol
No pido que todos los viernes sean de fiesta
Y tampoco te pido que vuelvas rogando perdón
Si lloras con los ojos secos y hablando de ella

[Pre-Coro: Shakira & Alejandro Sanz]
Ay, amor, me duele tanto (Me duele tanto)
Que te fueras sin decir a dónde
Ay, amor, fue una tortura perderte

[Coro: Shakira & Alejandro Sanz]
Yo sé que no he sido un santo
Pero lo puedo arreglar, amor
No solo de pan vive el hombre
Y no de excusas vivo yo
Solo de errores se aprende
Y hoy sé que es tuyo mi corazón
Mejor te guardas todo eso
A otro perro con ese hueso y nos decimos adiós
You might also like[Post-Coro: Alejandro Sanz]
Que esto es una vez, es otra vez
Que esto es una vez, es otra vez

[Verso 2: Shakira & Alejandro Sanz]
No puedo pedir que el invierno perdone a un rosal
No puedo pedir a los olmos que entreguen peras
No puedo pedirle lo eterno a un simple mortal
Y andar arrojando a los cerdos miles de perlas

[Pre-Coro: Shakira & Alejandro Sanz]
Ay, amor, me duele tanto, me duele tanto
Que no creas más en mis promesas
Ay amor, es una tortura perderte

[Coro: Shakira & Alejandro Sanz]
Yo sé que no he sido un santo
Pero lo puedo arreglar, amor
No solo de pan vive el hombre
Y no de excusas vivo yo
Solo de errores se aprende
Y hoy sé que es tuyo mi corazón
Mejor te guardas todo eso
A otro perro con ese hueso y nos decimos adiós

[Post-Coro: Alejandro Sanz]
Y oye, dámelo
[Verso 3: Alejandro Sanz]
No te bajes, no te bajes
Oye negrita, mira, no te rajes
De lunes a viernes tienes mi amor
Déjame el sábado a mí que es mejor
Oye mi negra, no me castigues más
Porque allá afuera, sin ti no tengo paz
Yo solo soy un hombre arrepentido
Y como el ave que vuelve a su nido

[Coro: Shakira & Alejandro Sanz]
Yo sé que no he sido un santo
Y es que no estoy hecho de cartón
No solo de pan vive el hombre
Y no de excusas vivo yo
Solo de errores se aprende
Y hoy sé que es tuyo mi corazón

[Outro: Shakira]
Ay, ay
Ay, ay, ay
Ay, todo lo que he hecho por ti
Fue una tortura perderte y me duele tanto que sea así
Sigue llorando ""Perdón""
Yo ya no voy a llorar hoy por ti24Embed"
59,4.,Obtener un sí,3:21,Fijación Oral Vol.1,Obtener un sí,"20 ContributorsTranslationsEnglishObtener un Si Lyrics[Letra de ""Obtener un Si""]

[Coro]
Ay, ay, cómo muero por ti
Cómo poder olvidarte
Basta que me enamores
O que me mandes flores
Para obtener un sí

[Verso 1]
Ya tengo ojeras de tanto mirarte
Y lo peor es que aún me quedan tantas ganas de
Esperarte
Hasta que entiendas que

[Pre-Coro]
Te quiero porque eres claro, claro, claro
Como la planta de mis pies
Como el amor después de hecho
Como tu voz y tu piel

[Coro]
Ay, ay, ay
Ay, cómo muero por ti
Cómo poder olvidarme
Basta que mandes flores
Para que me enamores
Para obtener un sí
You might also likePa-ra-la-ah, ah

[Pre-Coro]
Te quiero porque eres claro, claro, claro
Como la planta de mis pies, ay, ay, ay
Como el amor después de hecho
Como tu voz y tu piel

[Coro]
Ay, ay, ay
Ay, cómo muero por ti
Cómo poder olvidarte
Basta que me enamores
O que me mandes flores
Para obtener un sí
Ah-ha-ha
Basta que me enamores
O que me mandes flores
Para obtener un síEmbed"
60,5.,Día especial (con Gustavo Cerati),4:25,Fijación Oral Vol.1,Día especial,"19 ContributorsTranslationsEnglishDía Especial Lyrics[Letra de ""Día Especial"" ft. Gustavo Cerati]

[Verso 1]
Ya no sé si es muy tarde para ti
Quiero desafiar la comodidad
No nos sirve más fingir
Yo no sé cuán efímero es tu error
Ya te perdoné
Adelanté las agujas del reloj

[Pre-Coro]
Mi lágrima secó
Se aleja el temporal
Latiendo como el sol
Mi corazón no tiene edad
Para esperarte

[Coro]
Este es un día especial
Quiero creer en otra oportunidad
Dimos un salto mortal
Y hoy vuelvo a ver
Un faro en la oscuridad

[Verso 2]
Ya no estoy tan confusa como ayer
Solo la ilusión trae desilusión
Y es tan fácil de caer
You might also like[Pre-Coro]
El mundo en que creí
Lo eterno y lo fugaz
Prefiero darle fin
Aunque me ocultes la verdad más vulnerable

[Coro]
Este es un día especial
Quiero creer en otra oportunidad
Dimos un salto mortal
Y hoy vuelvo a ver
Un faro en la oscuridad

[Puente]
Latiendo como el sol
Mi corazón no tiene edad
Ah (Uuh)

[Coro]
Este es un día especial
Quiero creer en otra oportunidad
Dimos un salto mortal
Y hoy vuelvo a ver
Un faro en la oscuridad

[Outro]
Ah, especial
Ah, ah, ooh2Embed"
61,6.,Escondite inglés,3:10,Fijación Oral Vol.1,Escondite inglés,"13 ContributorsTranslationsEnglishEscondite Inglés Lyrics[Letra de ""Escondite Inglés""]

[Verso 1]
Bienvenido, has llegado
En el momento justo
Y al lugar indicado
No todo lo rico engorda
Y no todo lo bueno es pecado

[Pre-Coro]
Yo seré tus deseos hechos piernas
Una idea recurrente de la fascinación
Yo seré un complot para tu mente
El objeto y la causa de tu perdición
Y tu buena suerte

[Coro]
Cuenta del uno al diez
Y me escondo donde puedas verme
Es mi forma de jugar al escondite inglés
Bésame de una vez
Y te amarro a mi sofá burgués
Es mi forma de jugar al escondite
Es mi forma de jugar al escondite
Es mi forma de jugar al escondite inglés
You might also like[Verso 2]
No me juzgues, no soy de esas
Solo porque tengo una mente traviesa
No todo lo rico engorda
Y no él que peca empata si reza

[Pre-Coro]
Yo seré tus deseos hechos piernas
La que dicte una sentencia a tu imaginación
Yo seré un complot para tu mente
El objeto y la causa de tu perdición
Y tu buena suerte

[Coro]
Cuenta del uno al diez
Y me escondo donde puedas verme
Es mi forma de jugar al escondite inglés
Bésame de una vez
Y te amarro a mi sofá burgués
Es mi forma de jugar al escondite
Es mi forma de jugar al escondite
Es mi forma de jugar al escondite inglés

[Outro]
Cuenta del uno al diez
Y me escondo donde puedas verme
Cuenta del uno al diez
Y me escondo donde puedas verme
Uno, dos, uno, dos, uno, dos, uno, dos, dos por cinco diezEmbed"
62,7.,No (con Gustavo Cerati),4:47,Fijación Oral Vol.1,No,"29 ContributorsTranslationsEnglishNo Lyrics[Letra de ""No"" ft. Gustavo Cerati]

[Verso 1]
No, no intentes disculparte
No juegues a insistir
Las excusas ya existían antes de ti
No, no me mires como antes
No hables en plural
La retórica es tu arma más letal

[Pre-Coro]
Voy a pedirte que no vuelvas más
Siento que me dueles todavía aquí
Adentro
Y que a tu edad sepas bien lo que es
Romperle el corazón a alguien así

[Coro]
No se puede vivir con tanto veneno
La esperanza que me da tu amor
No me la dio más nadie
Te juro, no miento
No se puede vivir con tanto veneno
No se puede dedicar el alma
A acumular intentos
Pesa más la rabia que el cemento
You might also like[Verso 2]
Espero que no esperes que te espere
Después de mis 26
La paciencia se me ha ido hasta los pies
Y voy deshojando margaritas
Y mirando sin mirar
Para ver si así, te irritas y te vas

[Pre-Coro]
Voy a pedirte que no vuelvas más
Siento que me dueles todavía aquí
Adentro
Y que a tu edad sepas bien lo que es
Romperle el corazón a alguien así

[Coro]
No se puede vivir con tanto veneno
La esperanza que me dio tu amor
No me la dio más nadie
Te juro, no miento
No se puede morir con tanto veneno
No se puede dedicar el alma
A acumular intentos
Pesa más la rabia que el cemento

[Outro: Shakira & Gustavo Cerati]
No se puede vivir con tanto veneno
No se puede vivir con tanto veneno
No, ah
No
No4Embed"
